"key","Packagesize","Price","Price_per_unit","Product_image","Product_title"
"","350g","$4.49","$1.28 per 100g","https://www.aldi.com.au/fileadmin/_processed_/e/4/csm_1002729_LTO_B1_1x1_228x128_16_RET_acd32e4b90.png","Health & Vitality Thai Style Red Chicken Curry 350g"
"","350g","$3.49","$1.00 per 100g","https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_1002153_REDUCTIONS_R36_1x1_228x128_3_RET_e5690aed68.png","Atlas Multi Insect Spray 350g"
"","35g","$2.99","$8.54 per 100g","https://www.aldi.com.au/fileadmin/_processed_/4/5/csm_1002153_REDUCTIONS_R37_1x1_228x128_2_RET_711e69050d.png","Power Force Active 5 Ball 35g"
"","80pk","$1.89","$2.36 per 100 wipes","https://www.aldi.com.au/fileadmin/_processed_/b/e/csm_1002153_REDUCTIONS_R37_1x1_228x128_3_RET_3283deacc4.png","Mamia Baby Wipes 80pk Fragrance Free"
"","80pk","$1.89","$2.36 per 100 wipes","https://www.aldi.com.au/fileadmin/_processed_/1/9/csm_1002153_REDUCTIONS_R37_1x1_228x128_4_RET_9bd0cd2b84.png","Mamia Baby Wipes 80pk Scented"
"","480pk","$10.49","$2.19 per 100 wipes","https://www.aldi.com.au/fileadmin/_processed_/e/5/csm_1002153_REDUCTIONS_R37_1x1_228x128_5_RET_983caf18a9.png","Mamia Baby Wipes 480pk Fragrance Free"
"","1kg","$10.99","25c per 100g","https://www.aldi.com.au/fileadmin/_processed_/3/3/csm_1002153_REDUCTIONS_R32_1x1_228x128_1_RET_7e0786f063.png","Ocean Royale Southern Blue Whiting Fillets Skin On 1kg"
"","1kg","$9.99","$9.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_1002729_LTO_B1_1x1_228x128_17_RET_13c8d81a8a.png","Farmwood Chicken Dippers 1kg"
"","350g","$3.49","$9.97 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/0/csm_1002729_LTO_B1_1x1_228x128_18_RET_3f1705ea00.png","Seasons Pride Potato Pommes 350g"
"","510g","$3.99","$7.82 per kg","https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_1002729_LTO_B1_1x1_228x128_19_RET_e62d38af88.png","Seasons Pride Hash Brown Stars 510g"
"","500g","$2.49","$4.98 per kg","https://www.aldi.com.au/fileadmin/_processed_/8/0/csm_1002729_LTO_B1_1x1_228x128_20_RET_4886b0c1ed.png","Seasons Pride Potato Hearts 500g"
"","240g","$3.99","$16.63 per kg","https://www.aldi.com.au/fileadmin/_processed_/a/7/csm_1002729_LTO_B1_1x1_228x128_21_RET_a461394f29.png","Urban Eats Sweet Corn Fritters 240g"
"","2pk/310g","$4.99","$1.61 per 100g","https://www.aldi.com.au/fileadmin/_processed_/0/7/csm_1002729_LTO_B1_1x1_228x128_22_RET_54bbce7807.png","Papa Giuseppi's Cheese Pizza Pies 2pk/310g"
"","ea","$5.99","$13.31 per kg","https://www.aldi.com.au/fileadmin/_processed_/9/e/csm_1002729_LTO_B1_1x1_228x128_23_RET_edc488b028.png","Orchard & Vine Smoothie Mix 450g"
"","4g-30g","$2.39","$5.98 - $0.80 per 10g","https://www.aldi.com.au/fileadmin/_processed_/8/3/csm_1002153_REDUCTIONS_R31_1x1_228x128_2_RET_36d7007e98.png","Stonemill Spice Shakers 4g-30g"
"","450g","$1.99","44c per 100g","https://www.aldi.com.au/fileadmin/_processed_/8/1/csm_1002153_REDUCTIONS_R30_1x1_228x128_1_RET_d731254d25.png","World Kitchen Fresh Noodles 450g"
"","170g","$1.95","$11.47 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/a/csm_1002153_REDUCTIONS_R30_1x1_228x128_3_RET_563d7370ac.png","Sweet Vine Sweetened Dried Cranberries 170g"
"","432g","$3.99","$9.24 per kg","https://www.aldi.com.au/fileadmin/_processed_/d/5/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_5_RET_18807621b4.png","Westacre Dairy Light Wrapped Cheese Slices 432g"
"","432g","$3.99","$9.24 per kg","https://www.aldi.com.au/fileadmin/_processed_/1/7/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_6_RET_0dc9c190d1.png","Westacre Dairy Wrapped Cheese Slices 432g"
"","120g","$2.99","$2.49 per 100g","https://www.aldi.com.au/fileadmin/_processed_/5/3/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_4_RET_5a48976ecd.png","Deli Originals Fresh Mixed Olives 120g"
"","1L","$4.49","45c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/3/e/csm_1002153_REDUCTIONS_R26_1x1_228x128_2_RET_d9c7ce8310.png","Pure Vita Sunflower Oil 1L"
"","200g","$2.09","$1.05 per 100g","https://www.aldi.com.au/fileadmin/_processed_/2/5/csm_1002153_REDUCTIONS_R26_1x1_228x128_3_RET_8d30527e2f.png","Belmont Biscuit Co. Just Divine 200g"
"","120g","$2.99","$2.49 per 100g","https://www.aldi.com.au/fileadmin/_processed_/d/d/csm_1002153_REDUCTIONS_R25_1x1_228x128_2_RET_073b5ddd12.png","Deli Originals Fresh Antipasto 120g"
"","4pk/400g","$5.49","$1.37 per 100g","https://www.aldi.com.au/fileadmin/_processed_/3/2/csm_1002729_LTO_B1_1x1_228x128_24_RET_5bd0989ca9.png","International Cuisine Cheese & Bacon Mini Pizza 4pk/400g"
"","320g","$3.99","$12.47 per kg","https://www.aldi.com.au/fileadmin/_processed_/c/c/csm_704495_DE_Q_01_1x1_4a25534df9.png","Urban Eats Cauliflower Buffalo Wings 320g"
"","1kg","$4.49","$4.49 per kg","https://www.aldi.com.au/fileadmin/_processed_/1/8/csm_1002153_REDUCTIONS_R24_1x1_228x128_1_RET_3682c89f3b.png","Market Fare Baby Peas 1kg"
"","425g","$3.79","89c per 100g","https://www.aldi.com.au/fileadmin/_processed_/7/f/csm_1002153_REDUCTIONS_R22_1x1_228x128_5_RET_8162de37da.png","World Kitchen Pasta Sauces 425g"
"","450g","$2.79","62c per 100g","https://www.aldi.com.au/fileadmin/_processed_/3/3/csm_1002153_REDUCTIONS_R22_1x1_228x128_6_RET_11def50d60.png","Earth Grown Firm Tofu 450g"
"","250g","$2.79","$1.12 per 100g","https://www.aldi.com.au/fileadmin/_processed_/2/0/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_1_RET_366179ce3f.png","Choceur Chocolate Bits 250g"
"","250ml","$2.99","$1.20 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_1002781_REDUCTIONS_IMAGE-UPDATES_1x1_228x128_2_RET_d3c204c2c1.png","Tricare Instant Hand Sanitiser 250ml"
"","ea","$1.69","34c per 100ml","https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_1002153_REDUCTIONS_R19_1x1_228x128_1_RET_119615b88f.png","Tricare Foaming Hand Wash Refill 500ml"
"","100ml","$4.99","50c per 10ml","https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_1002153_REDUCTIONS_R19_1x1_228x128_2_RET_74745ab404.png","White Mill Vanilla Extract 100ml"
"","280g","$3.29","$11.75 per kg","https://www.aldi.com.au/fileadmin/_processed_/0/5/csm_1002153_REDUCTIONS_R18_1x1_228x128_2_RET_7a7668acab.png","Deli Originals Greek Style Dolmades 280g"
"","120g","$1.99","$16.58 per kg","https://www.aldi.com.au/fileadmin/_processed_/9/e/csm_1002153_REDUCTIONS_R16_1x1_228x128_1_RET_7428aebcfe.png","The Fresh Salad Co Baby Spinach & Rocket 120g"
"","120g","$1.99","$16.58 per kg","https://www.aldi.com.au/fileadmin/_processed_/6/e/csm_1002153_REDUCTIONS_R16_1x1_228x128_2_RET_e7c29af735.png","The Fresh Salad Co Rocket 120g"
"","120g","$1.99","$16.58 per kg","https://www.aldi.com.au/fileadmin/_processed_/3/8/csm_1002153_REDUCTIONS_R16_1x1_228x128_3_RET_759486b254.png","The Fresh Salad Co Superleaf Salad Mix 120g"
"","300g","$3.99","$13.30 per kg","https://www.aldi.com.au/fileadmin/_processed_/8/9/csm_1002153_REDUCTIONS_R16_1x1_228x128_4_RET_2f0aeb0142.png","The Fresh Salad Co Baby Leaf Blend 300g"
"","500g","$2.19","$4.38 ker pg","https://www.aldi.com.au/fileadmin/_processed_/0/a/csm_1002153_REDUCTIONS_R16_1x1_228x128_5_RET_eea9d260ed.jpg","White Mill Cornflour 500g"
"","120g","$1.99","$16.58 per kg","https://www.aldi.com.au/fileadmin/_processed_/4/3/csm_1000341-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_1_RET_3c9bfdc8aa.png","The Fresh Salad Co Baby Spinach 120g"
"","280g","$3.99","$14.25 per kg","https://www.aldi.com.au/fileadmin/_processed_/1/4/csm_1000341-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_2_RET_625c52fc38.png","The Fresh Salad Co Baby Spinach 280g"
"","per kg","$16.99","$16.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/6/1/csm_1000341-14_REDUCTIONS_FUTURE-PRICE-_RND14__1x1_228x128_2_af306a9d9c.png","Jindurra Station Gravy Beef per kg"
"","1kg","$8.99","$8.99 per kg","https://www.aldi.com.au/fileadmin/_processed_/c/2/csm_1000341-12_REDUCTIONS_FUTURE-PRICE-_RND12__1x1_228x128_2_RET_78343ebb80.png","Farmwood Chicken Breast T-Rex Bites 1kg"
