"key","Packagesize","Price","Price_per_unit","Product_image","Product_title"
"","30ml","$12.99","$43.30 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/1/5/csm_ALN3708_Q4-WEB_EXISTING_1x1_228x128_12_fc06bdcafb.jpg","LACURA® Revive Intensive Serum Night Elixir 30ml"
"","30ml","$12.99","$43.30 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_ALN3708_Q4-WEB_EXISTING_1x1_228x128_13_3169f97d81.jpg","LACURA® Revive Intensive Serum Hyaluronic Gel 30ml"
"","15ml","$12.99","$86.60 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/8/9/csm_ALN3708_Q4-WEB_EXISTING_1x1_228x128_14_1008381571.jpg","LACURA® Revive Intensive Serum Moisture Boost 15ml"
"","50ml","$11.99","$23.98 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/d/4/csm_ALN3510_Q3_BEAUTY_1x1_228x128_4_e7f0f53ae6.jpg","LACURA"
"","null","$11.99","$79.93 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN3510_Q3_BEAUTY_1x1_228x128_5_235b221d1b.jpg","LACURA"
"","30pk","$1.69","6c per wipe","https://www.aldi.com.au/fileadmin/_processed_/4/0/csm_1002179-1_Q2_WEB_AUDIT_1x1_228x128_6_RET_4c6dbbb191.png","Lacura Revitalise Cleansing Wipes 30pk"
"","50ml","$12.99","$25.98 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/c/d/csm_ALN3510_Q3_BEAUTY_1x1_228x128_3_7ede98a999.jpg","LACURA® Skin Science Revitalise Expert Face Care Day Cream 50ml"
"","50ml","$12.99","$25.98 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/c/e/csm_ALN3510_Q3_BEAUTY_1x1_228x128_4_dc73157929.jpg","LACURA® Skin Science Revitalise Expert Face Care Neck Firming Cream 50ml"
"","15ml","$12.99","$86.60 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN3510_Q3_BEAUTY_1x1_228x128_5_cff514c5fd.jpg","LACURA® Skin Science Revitalise Expert Face Care Eye Cream 15ml"
"","ea","$3.99","$2.66 per 100ml","https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_1001349_ALN-1_1x1_Q3_WEB-AUDIT_228x128_35_3e8b17e523.jpg","LACURA® Revitalising Foaming Face Wash Cleanser 150ml"
