"key","Brand","Product_id","Product_url","Sku_name"
"","Catch Surf","4835866509355","null","Odysea Stump Jamie O'Brien Pro Softboard"
"","Futures","4820523122731","null","Alpha Twin + Stabiliser Fins"
"","Futures","4817419632683","null","Alpha Quad Rear Set"
"","Futures","4505356402731","null","QD2 4.0 Alpha Quad Rear Fins"
"","Futures","4505355321387","null","F6 Legacy 5 (Neutral) Fins"
"","FCS","4481249476651","null","FCS II Modern Keel PC Twin Fins"
"","FCS","4400793681963","null","FCS II PG Split Keel Quad Fins"
"","Futures","4374670049323","null","HS2 Generation Tri Fins"
"","Astro Deck","4369901027371","null","Christian Fletcher Front Foot Traction"
"","Creatures","6792653930539","null","Jack Freestone Lite Pin Tail Ecopure Traction"
"","Futures","6772683604011","null","Thermotech Performance Single Fin"
"","Sun Bum","6690608545835","null","Beach Football"
"","O'Neill","6688633323563","null","Bahia  Lycra Front Zip Long Sleeve Surfsuit"
"","Sun Bum","6688620445739","null","Cool Down Lotion"
"","Sun Bum","6688620314667","null","Cool Down Aloe Gel"
"","Sun Bum","6688619528235","null","Cool Down Aloe Spray"
"","Carver","6612314325035","null","31"" ...Lost Rad Ripper - C7 Complete"
"","Carver","6612310556715","null","30.75"" CI Happy - C7 Complete"
"","Ocean & Earth","4521778315307","null","Dakoda Walters Pro Traction"
"","Futures","4505355943979","null","Performance Fibreglass Single Fin"
"","Futures","4505355649067","null","SB1 Sidebite Fins"
"","Futures","4505355059243","null","Controller Honeycomb Quad Fins"
"","Thunderbolt","4419835461675","null","HI 4"
"","Octopus","1869311082539","null","Hobgood Hybrid Traction"
"","Surf Mud","1810476662827","null","Surf Baby SPF30 Sunscreen"
"","FCS","6701398720555","null","Sally Fitzgibbons 3 Piece Traction"
"","Sun Bum","6690611757099","null","Sunbum Baby Bum 30+ Face Stick"
"","Vans","4884531413035","null","Old Skool Leather"
"","Lost","4465639784491","https://surfboardempire.com.au/products/crowdkiller","Party Crasher (With Tint)"
"","Sun Bum","1809778114603","null","Sunscreen Lip Balm SPF 30 - Pomegranate"
"","Futures","1796912250923","null","P6 Legacy Series Tri Fins (Pivot)"
"","FCS","1796816076843","null","FCS Ratchet Tool"
"","Creatures","1796063330347","null","Tie Down Silicon"
"","Creatures","6929544609835","null","Superlite Longboard Knee"
"","Creatures","6929552834603","null","Stash Lock Large"
"","Creatures","6929544675371","null","Superlite Longboard Ankle"
"","Creatures","6932328742955","null","W4W Wax Comb"
"","JS Surfboards","6903135141931","null","Big Baron"
"","Lost","6939089502251","null","Glydra"
"","Pyzel","6938599948331","null","Pyzalien 2 ElectraLite EPS"
"","Pyzel","6935828987947","https://surfboardempire.com.au/products/phantom","Shadow Grom Electralite"
"","Endorfins","6934446276651","null","Slater KS Twin + 2 Fins"
"","Former","6861189185579","null","FCI Sock Bag"
"","Lost","6905245597739","https://surfboardempire.com.au/products/puddle-jumper-pro-lightspeed-eps","Puddle Jumper Pro"
"","Sharpeye","6914537455659","null","Inferno FT (Limited Edition)"
"","Creatures","6688644530219","null","Grom Mick Eugene Fanning Lite Traction"
"","Creatures","6893359038507","null","Stephanie Gilmore Lite EcoPure Traction"
"","Creatures","6893359726635","null","Mick Fanning Loc-Lite Ecopure Traction"
"","Creatures","6903136452651","null","Grom Griffin Colapinto Lite Ecopure Traction"
"","Creatures","6903136550955","null","Mick Eugene Fanning Lite Ecopure Traction"
"","Channel Islands","6902450749483","null","Happy Everyday Spine Tek EPS"
"","O'Neill","6864817225771","null","Hyperfreak Fire 3mm Split Toe Boot"
"","O'Neill","6864817651755","null","O'Riginal 2mm Zipperless Short John"
"","FCS","6892366004267","null","FCS II Towel Poncho"
"","Captain Fin Co","6859785502763","null","CF Slasher Single Fin"
"","Captain Fin Co","6861203275819","null","Chippa + NPJ Especial Twin Fins"
"","Captain Fin Co","6864819126315","null","Archy Man In Black Fins"
