"key","Image_url","Price_now","Price_was","Product_url","Sku_name"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7305/25029/lures_colour_chart_v2__94893.1705890826.jpg?c=2","24.99","54.95","https://tackleworldadelaide.com.au/yo-zuri-surface-cruiser-floating-fishing-lure-150mm-clearance/","Yo-Zuri Surface Cruiser Floating Fishing Lure 150mm *Clearance*"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7304/25028/lures_colour_chart_v2__94064.1705886312.jpg?c=2","34.99","49.95","https://tackleworldadelaide.com.au/yo-zuri-bull-pop-floating-popper-lure-200mm-clearance/","Yo-Zuri Bull Pop Floating Popper Lure 200mm *Clearance*"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7303/25027/lures_colour_chart_v2__56631.1705885178.jpg?c=2","29.99","44.99","https://tackleworldadelaide.com.au/yo-zuri-bull-pop-floating-popper-lure-150mm-clearance/","Yo-Zuri Bull Pop Floating Popper Lure 150mm *Clearance*"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7160/24484/molix_sb117_Colour_Chart_V2__32110.1699331705.jpg?c=2","23.99","null","https://tackleworldadelaide.com.au/molix-sb117-stick-bait-tuna-sinking-fishing-lure-117mm/","Molix SB117 Stick Bait Tuna Sinking Fishing Lure 117mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/7022/23996/bettyu_hiramasa_colour_chart__10251.1695277836.jpg?c=2","39.95","null","https://tackleworldadelaide.com.au/shimano-ocea-bettyu-hiramasa-flashboost-stickbait-fishing-lure-145mm/","Shimano Ocea Bettyu Hiramasa Flashboost Stickbait Fishing Lure 145mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/6985/23991/bettyu_hiramasa_colour_chart__53323.1695272585.jpg?c=2","30.00","59.95","https://tackleworldadelaide.com.au/shimano-ocea-bettyu-hiramasa-flashboost-stickbait-fishing-lure-190mm/","Shimano Ocea Bettyu Hiramasa Flashboost Stickbait Fishing Lure 190mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/6984/23760/Shimani_Head_Dip_Flash_Boost_Colour_Chart__86113.1694393337.jpg?c=2","39.99","null","https://tackleworldadelaide.com.au/shimano-ocea-head-dip-flashboost-stickbait-fishing-lure-140mm/","Shimano Ocea Head Dip FlashBoost Stickbait Fishing Lure 140mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/6983/23759/bassday_sugapen_splash_colour_chart__49372.1694156311.jpg?c=2","23.95","null","https://tackleworldadelaide.com.au/bassday-sugapen-splash-floating-fishing-lure-75mm/","Bassday SugaPen Splash Floating Fishing Lure 75mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/6952/23669/Daiwa_Sawarash_Colour_Chart__93821.1692847473.jpg?c=2","24.99","null","https://tackleworldadelaide.com.au/daiwa-sawarash-110hs-sinking-stickbait-fishing-lure-110mm/","Daiwa Sawarash 110HS Sinking Stickbait Fishing Lure 110mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/6945/23657/Nomad_Dartwing_COLOUR_CHART__12627.1692167254.jpg?c=2","18.99","null","https://tackleworldadelaide.com.au/nomad-dartwing-popper-floating-fishing-lure-70mm/","Nomad Dartwing Popper Floating Fishing Lure 70mm"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/6826/22813/gt_ice_cream_needle_nose_1.5oz_colour_chart__39755.1687836766.jpg?c=2","19.99","null","https://tackleworldadelaide.com.au/gt-ice-cream-needle-nose-long-distance-casting-lure-1-5-oz/","GT Ice Cream Needle Nose Long Distance Casting Lure 1.5 oz"
"","https://cdn11.bigcommerce.com/s-jmjroyqsgc/images/stencil/500x659/products/6825/22811/GT_ice_cream_needle_nose_colour_chart__76521.1687832776.jpg?c=2","18.99","null","https://tackleworldadelaide.com.au/gt-ice-cream-needle-nose-long-distance-casting-lure-1-0-oz/","GT Ice Cream Needle Nose Long Distance Casting Lure 1.0 oz"
